,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.26799996694,0.553999980291,-1.81155369658,-1.80890797003,15,1,5,16,200,"{'n_estimators': 200, 'min_samples_split': 16, 'max_depth': 15, 'max_features': 1, 'min_samples_leaf': 5}",34,-1.82753961905,-1.82314122633,-1.80042229127,-1.79820830447,-1.80669715843,-1.80537437928,0.0206075218667,0.0127540696582,0.0115911799305,0.0104810096779
1,1.14733330409,0.536999940872,-1.85399605051,-1.85128806738,12,1,5,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 12, 'max_features': 1, 'min_samples_leaf': 5}",35,-1.85811162117,-1.85383389099,-1.86663329761,-1.86389416678,-1.83724120906,-1.83613614437,0.0195675352075,0.013952256766,0.0123468898923,0.0114742571426
2,17.8896666368,0.527000109355,-1.19613509569,-1.18975327693,6,0.8,1,16,200,"{'n_estimators': 200, 'min_samples_split': 16, 'max_depth': 6, 'max_features': 0.8, 'min_samples_leaf': 1}",27,-1.19309525798,-1.18313429936,-1.20568482254,-1.20195000043,-1.18962487004,-1.184175531,0.0677069262956,0.0141420097451,0.00689970338717,0.008634855294
3,27.6469999154,0.532333374023,-0.759706776702,-0.69652062291,15,0.9,5,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 15, 'max_features': 0.9, 'min_samples_leaf': 5}",6,-0.7614439621,-0.691747040694,-0.760524698666,-0.699980111676,-0.757151253098,-0.69783471636,0.335019385567,0.00953357567836,0.00184546016917,0.00348721432718
4,1.34566664696,0.527000029882,-1.7388520416,-1.72977160943,12,1,1,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 12, 'max_features': 1, 'min_samples_leaf': 1}",33,-1.75153621191,-1.74014048048,-1.72943522797,-1.72058179069,-1.73558313803,-1.72859255712,0.00825974933267,0.0265456791058,0.00931423373867,0.0080282090066
5,25.6473333836,0.538666725159,-0.855203013887,-0.821051663169,12,0.9,10,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 12, 'max_features': 0.9, 'min_samples_leaf': 10}",14,-0.856688717596,-0.817892676658,-0.855141101235,-0.823372082773,-0.853778940683,-0.821890230075,0.127753308603,0.0125520522334,0.00118871787627,0.00231421241973
6,27.8159999847,0.530000050863,-0.752261461281,-0.6746737569,15,0.9,1,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 15, 'max_features': 0.9, 'min_samples_leaf': 1}",3,-0.754152660338,-0.669990636923,-0.752675638209,-0.677822307804,-0.749955678335,-0.676208325973,0.222325512739,0.0102306149166,0.00173825992256,0.0033763830623
7,17.9993333022,0.520000060399,-1.19825530635,-1.19288463951,6,0.8,5,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 6, 'max_features': 0.8, 'min_samples_leaf': 5}",29,-1.20812179084,-1.19826794632,-1.19077543658,-1.18833945536,-1.19586750338,-1.19204651685,0.183305535374,0.00993312574686,0.00728025771907,0.00409638624623
8,17.8009999593,0.546666701635,-1.20234036046,-1.19734068912,6,0.8,10,2,200,"{'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 6, 'max_features': 0.8, 'min_samples_leaf': 10}",30,-1.20144856788,-1.19228215872,-1.20335551456,-1.2010002681,-1.20221707345,-1.19873964055,0.0509705386243,0.0247296223095,0.000783391598831,0.00369406340273
9,23.332666556,0.514666716258,-0.858119623115,-0.82160389126,12,0.8,10,2,200,"{'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 12, 'max_features': 0.8, 'min_samples_leaf': 10}",15,-0.859492305217,-0.817564376615,-0.859077266452,-0.824736276119,-0.855788938581,-0.822511021046,0.242410631259,0.00410959510329,0.00165661133005,0.00299735427316
