,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,912.211666584,25.8680000305,-0.447985989492,-0.114320463226,0.5,1,18,3,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.5, 'max_depth': 18, 'min_child_weight': 3}",1,-0.452297723777,-0.11380597336,-0.456352187671,-0.113208479975,-0.435306409464,-0.115946936344,8.87164869592,1.8626695428,0.00911669325388,0.00117567305185
1,852.619333267,22.9140001138,-0.447987980502,-0.118710213893,0.5,1,18,4,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.5, 'max_depth': 18, 'min_child_weight': 4}",2,-0.452543130645,-0.118238653439,-0.455903549387,-0.117206586573,-0.4355156104,-0.120685401666,7.55790877564,0.448627555244,0.00892473281847,0.00145883870667
2,827.475333293,23.0833333333,-0.44810261189,-0.123775113424,0.5,1,18,5,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.5, 'max_depth': 18, 'min_child_weight': 5}",3,-0.452813406771,-0.123224173441,-0.455994458504,-0.122366491542,-0.435498291435,-0.125734675288,1.87415865324,0.811271563294,0.00900608077168,0.00142917612295
3,914.281000058,18.6059998671,-0.451748819289,-0.191464841753,0.5,2,18,3,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.5, 'max_depth': 18, 'min_child_weight': 3}",10,-0.455779950352,-0.190983655936,-0.458875089788,-0.189480947356,-0.440589944829,-0.193929921968,23.4584411287,0.148339675456,0.00799048871332,0.0018478814209
4,871.642999967,18.82766668,-0.451841861527,-0.195354750873,0.5,2,18,4,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.5, 'max_depth': 18, 'min_child_weight': 4}",11,-0.455897497587,-0.194796707452,-0.458667711603,-0.193189822866,-0.440958926874,-0.1980777223,1.55659431603,0.171659168909,0.00777750581931,0.00203411726367
5,849.161666632,18.4980000655,-0.452028181192,-0.199319520637,0.5,2,18,5,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.5, 'max_depth': 18, 'min_child_weight': 5}",12,-0.456600174648,-0.198773178986,-0.458529559661,-0.197151547636,-0.440953292067,-0.20203383529,2.16920465233,0.0298107060633,0.00787007727804,0.00203027914093
6,966.460333427,23.301333348,-0.44915952843,-0.109245269514,0.6,1,18,3,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 3}",6,-0.453292041307,-0.108855230478,-0.45754315482,-0.107997549471,-0.436641774671,-0.110883028592,3.06414502084,1.27418528989,0.00901930291811,0.00120984717394
7,939.733333349,23.454666694,-0.448789495705,-0.113539361511,0.6,1,18,4,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 4}",4,-0.452761763976,-0.113129615366,-0.457087620535,-0.112348402317,-0.436517527482,-0.11514006685,4.4261948597,0.849466531529,0.00885486536552,0.00117594405853
8,914.813333352,23.2536665599,-0.448859029953,-0.118210534253,0.6,1,18,5,2400,"{'n_estimators': 2400, 'gamma': 1, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 5}",5,-0.453039228481,-0.117746058443,-0.457156750153,-0.116858392342,-0.436379495814,-0.120027151974,4.5869398427,0.812000150806,0.00898241960237,0.00133468166859
9,992.797666709,18.538333257,-0.451684788877,-0.184864812517,0.6,2,18,3,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 3}",9,-0.455005891123,-0.183983284538,-0.459094230749,-0.183215691333,-0.44095288211,-0.18739546168,2.22154516197,0.185598658946,0.00776945458197,0.0018166707134
10,963.551666657,18.5000000795,-0.451463780969,-0.188254861358,0.6,2,18,4,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 4}",7,-0.454863335225,-0.187476045327,-0.458751552593,-0.186595615836,-0.440775089022,-0.190692922912,2.84899653497,0.101301503467,0.00772240814048,0.00176104081484
11,942.281666517,18.8503334522,-0.451652347852,-0.192189455248,0.6,2,18,5,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 5}",8,-0.455257657975,-0.191271191678,-0.458787440441,-0.190377403753,-0.440910553973,-0.194919770312,7.51718507067,0.0779587001959,0.00773054579847,0.00196480354829
