,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,854.108999968,15.8323334058,-0.457294271854,-0.226503622616,0.9,2,12,10,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.9, 'max_depth': 12, 'min_child_weight': 10}",10,-0.460175669719,-0.225857031025,-0.463876778411,-0.224207667996,-0.447829170254,-0.229446168828,15.6351425442,0.0502150549351,0.00686080929779,0.00218693594728
1,1123.37266668,17.8693333467,-0.452547540796,-0.181513014995,0.8,2,18,5,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.8, 'max_depth': 18, 'min_child_weight': 5}",1,-0.455789948337,-0.180741040241,-0.460352414549,-0.179849294708,-0.441498873768,-0.183948710036,4.88593086698,0.192626269834,0.00803101252784,0.00176035228928
2,926.320666711,12.1769999663,-0.474299554664,-0.32702813842,0.8,4,15,12,2400,"{'n_estimators': 2400, 'gamma': 4, 'colsample_bytree': 0.8, 'max_depth': 15, 'min_child_weight': 12}",25,-0.476962164706,-0.326355776797,-0.479419100413,-0.324139356967,-0.466516385997,-0.330589281496,2.55906141106,0.0221057894079,0.00559379921379,0.00267574715074
3,997.490333398,16.5209999879,-0.456844679987,-0.213988124439,0.9,2,15,12,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.9, 'max_depth': 15, 'min_child_weight': 12}",9,-0.460317705212,-0.213544828269,-0.463288187395,-0.211624328426,-0.44692684891,-0.216795216623,10.4788241892,0.212640445711,0.00711654637633,0.00213415163591
4,744.220666647,10.2826667627,-0.480034229281,-0.344459931274,0.9,4,12,12,2000,"{'n_estimators': 2000, 'gamma': 4, 'colsample_bytree': 0.9, 'max_depth': 12, 'min_child_weight': 12}",26,-0.482003986622,-0.343399095092,-0.485752903891,-0.342008146829,-0.472344860732,-0.347972551901,27.5951682865,0.0926977598549,0.00564813287725,0.00254788304526
5,823.50999999,13.9250000318,-0.455972421757,-0.1966780387,0.9,2,18,5,1600,"{'n_estimators': 1600, 'gamma': 2, 'colsample_bytree': 0.9, 'max_depth': 18, 'min_child_weight': 5}",8,-0.458756460888,-0.195945048012,-0.463351427161,-0.194785516441,-0.445808121688,-0.199303551647,4.17398833264,0.156475740249,0.00742752368682,0.00191591876017
6,903.794666688,19.6060000261,-0.457455281776,-0.24069088745,0.8,2,9,10,3400,"{'n_estimators': 3400, 'gamma': 2, 'colsample_bytree': 0.8, 'max_depth': 9, 'min_child_weight': 10}",11,-0.460271634914,-0.239781319676,-0.46483802298,-0.238462718605,-0.447254925267,-0.24382862407,6.6863079917,0.0736614580975,0.00744926541695,0.00228308570657
7,1140.12833333,17.6093332767,-0.454070963788,-0.176932047772,0.9,2,21,5,2000,"{'n_estimators': 2000, 'gamma': 2, 'colsample_bytree': 0.9, 'max_depth': 21, 'min_child_weight': 5}",4,-0.457638246291,-0.176040384659,-0.461605944649,-0.175475109775,-0.442967277855,-0.179280648881,12.8237696149,0.358308375434,0.00801628678094,0.00167666917867
8,1166.16333334,12.8423333963,-0.47186520793,-0.307351476577,0.9,4,18,10,2400,"{'n_estimators': 2400, 'gamma': 4, 'colsample_bytree': 0.9, 'max_depth': 18, 'min_child_weight': 10}",20,-0.474182682396,-0.306699462275,-0.478083147894,-0.304839796226,-0.463328741048,-0.310515171231,3.32832246997,0.1332474188,0.00624228021721,0.00236238754199
9,934.923999945,12.0070001284,-0.474077138885,-0.318973243418,0.9,4,12,5,2400,"{'n_estimators': 2400, 'gamma': 4, 'colsample_bytree': 0.9, 'max_depth': 12, 'min_child_weight': 5}",24,-0.476250528706,-0.317955657502,-0.480430196331,-0.31650692782,-0.465549654007,-0.322457144932,3.16800390557,0.0943433652965,0.00626621543164,0.00253349320682
