,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,2641.05799993,17.367000103,-0.457096181569,-0.148587489938,0.7,2,27,2,2000,"{'n_estimators': 2000, 'gamma': 2, 'colsample_bytree': 0.7, 'max_depth': 27, 'min_child_weight': 2}",9,-0.458882854835,-0.148368228358,-0.465479834989,-0.147431320744,-0.446924695361,-0.149962920711,6.44401694275,0.236703740828,0.00767956716073,0.00104508574731
1,3334.21133327,27.7500000795,-0.458024019823,-0.0973522893338,0.7,1,24,10,3400,"{'n_estimators': 3400, 'gamma': 1, 'colsample_bytree': 0.7, 'max_depth': 24, 'min_child_weight': 10}",16,-0.46086933202,-0.0971792456676,-0.466158255734,-0.0961069208279,-0.447043131057,-0.0987707015059,9.7963116419,1.15173116932,0.00805875520612,0.00109434606287
2,3759.56366658,37.9090000788,-0.483768221437,-0.0289924692545,0.8,0,30,7,3400,"{'n_estimators': 3400, 'gamma': 0, 'colsample_bytree': 0.8, 'max_depth': 30, 'min_child_weight': 7}",27,-0.486941367982,-0.0289989870574,-0.494711031323,-0.0284762985959,-0.469650588405,-0.0295021221102,18.2308986477,1.76528777256,0.0104738270639,0.000418816055043
3,3606.63133327,41.6383333206,-0.519302076073,-0.0079681153686,0.8,0,21,1,3400,"{'n_estimators': 3400, 'gamma': 0, 'colsample_bytree': 0.8, 'max_depth': 21, 'min_child_weight': 1}",29,-0.521910989004,-0.00807051681852,-0.533225114726,-0.0077528097232,-0.502768268317,-0.00808101956408,14.8742919111,0.444237448631,0.0125697836616,0.000152304448661
4,2855.89333336,18.5213333766,-0.45745355065,-0.159632682749,0.8,2,24,7,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.8, 'max_depth': 24, 'min_child_weight': 7}",12,-0.459988831647,-0.159314335572,-0.465493563744,-0.158224550046,-0.446876985171,-0.16135916263,6.20061605287,0.214196564565,0.00780860580831,0.00129934796669
5,1886.57833338,17.7693332831,-0.457973229044,-0.192870111933,0.6,2,18,10,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 18, 'min_child_weight': 10}",15,-0.460454186339,-0.192900331423,-0.465076440063,-0.190775476692,-0.448387890722,-0.194934527684,35.0979006676,0.320477081344,0.00703517719366,0.00169805991308
6,3572.6473333,29.9806666374,-0.459200832637,-0.0917887348866,0.7,1,30,10,3400,"{'n_estimators': 3400, 'gamma': 1, 'colsample_bytree': 0.7, 'max_depth': 30, 'min_child_weight': 10}",20,-0.462291817231,-0.0916514282393,-0.467512086708,-0.0909015498886,-0.447797188501,-0.0928132265319,20.0714439623,1.47836270951,0.00833991499479,0.000786454802154
7,1801.21766671,15.9309999943,-0.458861674171,-0.174991304721,0.7,2,15,1,2000,"{'n_estimators': 2000, 'gamma': 2, 'colsample_bytree': 0.7, 'max_depth': 15, 'min_child_weight': 1}",18,-0.461194347818,-0.174785240755,-0.465966558554,-0.173327816484,-0.449422974729,-0.176860856924,3.37886804899,0.148573242364,0.00695225825879,0.00144969892449
8,2838.9636666,21.7696666718,-0.455915087397,-0.159783467693,0.6,2,24,7,3000,"{'n_estimators': 3000, 'gamma': 2, 'colsample_bytree': 0.6, 'max_depth': 24, 'min_child_weight': 7}",6,-0.458155789733,-0.159496845182,-0.464014789087,-0.158504966365,-0.445573463328,-0.161348591534,7.51969403668,0.127847099521,0.00769340018737,0.00117846379497
9,3369.65933339,20.1303332647,-0.456589519287,-0.141179899532,0.7,2,30,2,2400,"{'n_estimators': 2400, 'gamma': 2, 'colsample_bytree': 0.7, 'max_depth': 30, 'min_child_weight': 2}",8,-0.458361180734,-0.140910065015,-0.464888334202,-0.140110153214,-0.44651789454,-0.142519480366,11.7369735422,0.778175811071,0.00760344673546,0.00100193889744
