,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,108.034333388,1.41699997584,-0.490884675538,-0.0165054301199,42,1.0,700,"{'n_estimators': 700, 'max_features': 1.0, 'max_depth': 42}",15,-0.492718294627,-0.0160548594604,-0.497743722068,-0.0170152452977,-0.482190989138,-0.0164461856016,6.12620136314,0.0763195068658,0.00648027414205,0.000394307556645
1,85.1046667099,1.50399986903,-0.489916262517,-0.0267551336323,39,0.8,700,"{'n_estimators': 700, 'max_features': 0.8, 'max_depth': 39}",10,-0.495975566712,-0.0261081774484,-0.490964250251,-0.0274034377784,-0.482807693766,-0.0267537856701,1.44824964863,0.073597991022,0.00542659671095,0.000528788674479
2,69.6930000782,1.28100005786,-0.491551563097,-0.00619956581677,48,0.75,600,"{'n_estimators': 600, 'max_features': 0.75, 'max_depth': 48}",19,-0.494606617138,-0.00619080349912,-0.49630532714,-0.00628963414855,-0.483741691494,-0.00611825980263,0.300753562435,0.0664730117453,0.00556539046104,7.02370997328e-05
3,74.1853331725,1.38300005595,-0.493161810337,-0.00610793333828,48,0.75,650,"{'n_estimators': 650, 'max_features': 0.75, 'max_depth': 48}",27,-0.496431824527,-0.00582357453599,-0.5031126011,-0.0064857821374,-0.479939406198,-0.00601444334146,0.673958604459,0.00989956416983,0.00973870773554,0.000278310392034
4,108.414333344,1.60733334223,-0.492351248624,-0.0062162376816,48,0.9,800,"{'n_estimators': 800, 'max_features': 0.9, 'max_depth': 48}",21,-0.494802854295,-0.00631414108673,-0.498978515647,-0.00620323808911,-0.48327125777,-0.00613133386896,0.261103239209,0.0677461338607,0.00664253618403,7.51946885128e-05
5,57.2749999364,1.125,-0.492884657651,-0.0263888001437,39,0.75,500,"{'n_estimators': 500, 'max_features': 0.75, 'max_depth': 39}",25,-0.497517579065,-0.0259842791512,-0.496185798222,-0.0261872551393,-0.484949376991,-0.0269948661406,0.459369795474,0.00535412399755,0.00563696562986,0.000436491166298
6,75.6619999409,1.46933333079,-0.488677077356,-0.0165731642818,42,0.7,700,"{'n_estimators': 700, 'max_features': 0.7, 'max_depth': 42}",2,-0.495887034225,-0.0164369454409,-0.491966262662,-0.0170968537025,-0.478176217853,-0.0161856937018,0.494422925317,0.0155205426013,0.00759527521475,0.000384248024208
7,72.3603333632,1.28800010681,-0.501333931,-0.102578416779,30,0.75,650,"{'n_estimators': 650, 'max_features': 0.75, 'max_depth': 30}",44,-0.506517492465,-0.100571448331,-0.50183173599,-0.103929990671,-0.495651510924,-0.103233811336,0.516331480452,0.0871931355287,0.0044499622315,0.00144732124539
8,78.2266666094,1.46199997266,-0.500467778209,-0.102234373684,30,0.75,700,"{'n_estimators': 700, 'max_features': 0.75, 'max_depth': 30}",43,-0.506306727131,-0.101066053566,-0.502451681266,-0.104501456414,-0.492643601384,-0.101135611072,0.427345534191,0.0863056563589,0.00575164639399,0.00160332106162
9,68.067666769,1.09533325831,-0.490355976773,-0.041846498421,36,0.9,500,"{'n_estimators': 500, 'max_features': 0.9, 'max_depth': 36}",13,-0.496332054341,-0.0403038697649,-0.48980571454,-0.0426973160906,-0.484929055746,-0.0425383094076,1.69671360427,0.048196220536,0.004671486939,0.00109273301384
