,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.72133334478,0.513666629791,-1.25902042476,-1.20238680136,15,1,5,16,200,"{'n_estimators': 200, 'min_samples_split': 16, 'max_depth': 15, 'max_features': 1, 'min_samples_leaf': 5}",31,-1.25615598189,-1.19678212002,-1.26490569445,-1.20846886286,-1.25599958276,-1.2019094212,0.0357989113597,0.0122836410789,0.00416200390358,0.00478301916178
1,1.60666672389,0.525333325068,-1.36438861234,-1.3270910999,12,1,5,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 12, 'max_features': 1, 'min_samples_leaf': 5}",37,-1.36219815856,-1.32256098735,-1.37022837857,-1.33361830975,-1.36073915843,-1.32509400261,0.0732908814233,0.0265120976265,0.00417207562426,0.00472986207245
2,21.8906667233,0.526333411535,-1.13711723053,-1.12545916275,6,0.8,1,16,200,"{'n_estimators': 200, 'min_samples_split': 16, 'max_depth': 6, 'max_features': 0.8, 'min_samples_leaf': 1}",23,-1.14222000518,-1.13149848666,-1.12829743143,-1.1204698261,-1.1408341206,-1.12440917549,0.11985083708,0.0129700096,0.00626215144988,0.00456323667394
3,41.7936666807,0.540333350499,-0.711366059599,-0.625105484249,15,0.9,5,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 15, 'max_features': 0.9, 'min_samples_leaf': 5}",7,-0.717648298783,-0.629059611568,-0.71981998735,-0.633583865645,-0.696627854415,-0.612672975534,0.249138938477,0.016659896277,0.0104583759144,0.00898304601101
4,1.58200001717,0.533666610718,-1.34213593115,-1.29826365572,12,1,1,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 12, 'max_features': 1, 'min_samples_leaf': 1}",35,-1.34584099043,-1.29947370639,-1.34541422481,-1.30203534454,-1.33515154173,-1.29328191621,0.0467332759053,0.021045061761,0.00494142253982,0.00367457878785
5,36.8746667703,0.538333336512,-0.806662527142,-0.7525651658,12,0.9,10,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 12, 'max_features': 0.9, 'min_samples_leaf': 10}",16,-0.808028217581,-0.751136495319,-0.811961420407,-0.759256264509,-0.799997164708,-0.747302737572,0.223526803921,0.0177826737034,0.00497883217765,0.00498347442803
6,42.8206667105,0.530333280563,-0.707109021083,-0.609613311781,15,0.9,1,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 15, 'max_features': 0.9, 'min_samples_leaf': 1}",4,-0.710162346943,-0.60937389158,-0.714113326502,-0.617038222657,-0.697050118377,-0.602427821106,0.473402897443,0.0194821360129,0.00729282089391,0.00596707353702
7,21.7876666387,0.530333360036,-1.13651194251,-1.12563284058,6,0.8,5,32,200,"{'n_estimators': 200, 'min_samples_split': 32, 'max_depth': 6, 'max_features': 0.8, 'min_samples_leaf': 5}",22,-1.13805792564,-1.12806824228,-1.13134730054,-1.12435031153,-1.14013080236,-1.12447996793,0.137705762971,0.00654888265432,0.00374871973897,0.0017229023521
8,21.7973333995,0.522666613261,-1.13876699375,-1.12784961859,6,0.8,10,2,200,"{'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 6, 'max_features': 0.8, 'min_samples_leaf': 10}",24,-1.13530772334,-1.12506117997,-1.13889055062,-1.13231890703,-1.14210336623,-1.12616876878,0.0963477739866,0.0135728584111,0.00277568492161,0.003192448652
9,32.8086666266,0.536000092824,-0.796276691224,-0.737138652001,12,0.8,10,2,200,"{'n_estimators': 200, 'min_samples_split': 2, 'max_depth': 12, 'max_features': 0.8, 'min_samples_leaf': 10}",13,-0.799355181194,-0.735755024099,-0.799979864872,-0.744125397535,-0.789494071425,-0.731535534368,0.140718065426,0.0248596741512,0.00480246412732,0.00523207946349
