,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,111.098666668,1.68200000127,-0.514447049533,-0.153613150723,27,1.0,650,"{'n_estimators': 650, 'max_features': 1.0, 'max_depth': 27}",21,-0.520070964768,-0.151780077559,-0.515497863421,-0.155658810019,-0.507771127755,-0.153400564591,0.797136652291,0.0163094889279,0.00507606505409,0.0015906049212
1,102.989333312,1.60300000509,-0.499751741825,-0.100616032732,30,1.0,600,"{'n_estimators': 600, 'max_features': 1.0, 'max_depth': 30}",14,-0.505463725628,-0.098765506661,-0.499599128063,-0.101842944279,-0.494191278751,-0.101239647256,0.591613704414,0.0283900493537,0.00460322224583,0.00133149712211
2,89.8450000286,1.64233334859,-0.582188463846,-0.318674941789,21,0.85,650,"{'n_estimators': 650, 'max_features': 0.85, 'max_depth': 21}",42,-0.583974710297,-0.312282055194,-0.581617807416,-0.319646154413,-0.580972582723,-0.32409661576,0.270070300155,0.0600240597558,0.00129033045933,0.00487191959538
3,80.7613333066,1.42033338547,-0.500917001618,-0.101387708185,30,0.85,550,"{'n_estimators': 550, 'max_features': 0.85, 'max_depth': 30}",17,-0.508751013372,-0.101668497687,-0.499595082838,-0.101124798041,-0.494403517439,-0.101369828827,0.417079886499,0.0386811087484,0.00593145633321,0.000222324207613
4,80.6493333975,1.47133334478,-0.583661901251,-0.320575383533,21,0.9,550,"{'n_estimators': 550, 'max_features': 0.9, 'max_depth': 21}",45,-0.586476618078,-0.316976105607,-0.585165530455,-0.32380288194,-0.579342863495,-0.320947163051,0.481666738563,0.0134246710839,0.00310035364454,0.00279939085993
5,81.0459999243,1.32066679001,-0.582007051059,-0.31941001566,21,0.9,600,"{'n_estimators': 600, 'max_features': 0.9, 'max_depth': 21}",41,-0.585385666024,-0.317393342953,-0.583123098808,-0.321228059406,-0.577511624837,-0.31960864462,6.02752082319,0.225084233843,0.00331001540232,0.00157180420045
6,75.5793333054,1.15733337402,-0.499548754359,-0.100239114432,30,0.95,550,"{'n_estimators': 550, 'max_features': 0.95, 'max_depth': 30}",12,-0.503679786015,-0.0975047844616,-0.499913484505,-0.103342014242,-0.495052155978,-0.0998705445936,0.408683522477,0.0595613470812,0.00353164465004,0.00239724782064
7,87.8196665446,1.47066672643,-0.582367416997,-0.318880633334,21,0.9,700,"{'n_estimators': 700, 'max_features': 0.9, 'max_depth': 21}",43,-0.586362990632,-0.317022657692,-0.582598750183,-0.31970058624,-0.578139712806,-0.31991865607,2.12424050725,0.0437746496896,0.00336112190356,0.00131680009292
8,71.1073332628,1.11966665586,-0.581537498516,-0.318486417629,21,0.95,550,"{'n_estimators': 550, 'max_features': 0.95, 'max_depth': 21}",38,-0.585907167623,-0.316854749282,-0.582580914721,-0.320705751832,-0.576123464527,-0.317898751773,0.393260164428,0.105534574041,0.0040617524441,0.00162615467256
9,87.6313333511,1.37966664632,-0.492521011527,-0.0655547811806,33,0.85,700,"{'n_estimators': 700, 'max_features': 0.85, 'max_depth': 33}",3,-0.499142633611,-0.0637795498446,-0.491611503178,-0.0671988481607,-0.486807701736,-0.0656859455365,1.38640453524,0.0724999001339,0.00507661565825,0.00139900043121
10,84.0926667054,1.32700006167,-0.581886399452,-0.319507795341,21,0.95,650,"{'n_estimators': 650, 'max_features': 0.95, 'max_depth': 21}",40,-0.584614173409,-0.314984875185,-0.582951301287,-0.322523310505,-0.578093091344,-0.321015200334,0.48314688334,0.0850920159085,0.00276666341344,0.00325691102364
11,91.1593333085,1.38166673978,-0.582568895872,-0.319283049201,21,0.95,700,"{'n_estimators': 700, 'max_features': 0.95, 'max_depth': 21}",44,-0.585487701778,-0.316472708073,-0.58337032247,-0.321229241436,-0.578848019552,-0.320147198094,0.646374718871,0.0807355518309,0.00276924277931,0.00203571730053
12,96.3659999371,1.42700004578,-0.500206149214,-0.101027773702,30,0.95,700,"{'n_estimators': 700, 'max_features': 0.95, 'max_depth': 30}",16,-0.506596229275,-0.100917501654,-0.499490424953,-0.100534493541,-0.494530623471,-0.10163132591,0.575110988656,0.0683716696906,0.00495169374554,0.000454518247012
13,81.9693334103,1.26433316867,-0.581519157624,-0.318243501819,21,1.0,600,"{'n_estimators': 600, 'max_features': 1.0, 'max_depth': 21}",37,-0.585630256763,-0.315131908251,-0.581582570535,-0.320056715791,-0.577343842083,-0.319541881414,0.373128496268,0.0315630228635,0.00338321176783,0.00221024500982
14,80.9350000223,1.2373333772,-0.493220820484,-0.0645952934875,33,1.0,550,"{'n_estimators': 550, 'max_features': 1.0, 'max_depth': 33}",4,-0.498137359838,-0.0633258642291,-0.492051269203,-0.0659261171691,-0.489472992271,-0.0645338990643,0.772488163944,0.0278608269729,0.00363260272203,0.00106243612963
15,95.8743333817,1.50566665332,-0.581824604365,-0.31948783408,21,1.0,700,"{'n_estimators': 700, 'max_features': 1.0, 'max_depth': 21}",39,-0.584486159952,-0.315833484647,-0.583296903087,-0.32244096813,-0.577690091074,-0.320189049463,0.0952272243309,0.00418992850516,0.00296337483093,0.00274268563678
16,65.8959999879,1.13533337911,-0.531880223759,-0.197228749614,25,0.85,550,"{'n_estimators': 550, 'max_features': 0.85, 'max_depth': 25}",36,-0.535275338301,-0.193251912508,-0.534186775087,-0.20129227621,-0.526177675734,-0.197142060124,0.078311318054,0.0174419545842,0.00405643522659,0.00328303705097
17,72.013999939,1.23700006803,-0.531844638233,-0.197191731601,25,0.85,600,"{'n_estimators': 600, 'max_features': 0.85, 'max_depth': 25}",35,-0.538125256914,-0.196238246598,-0.533040816626,-0.198896115243,-0.524366507041,-0.196440832963,0.231902365951,0.0282960842169,0.0056803128513,0.00120801573016
18,78.7283333937,1.35099991163,-0.530829668489,-0.196578857034,25,0.85,650,"{'n_estimators': 650, 'max_features': 0.85, 'max_depth': 25}",31,-0.534390616568,-0.192695216643,-0.532874282935,-0.1994101421,-0.525223217049,-0.197631212358,1.63396778936,0.0732303599653,0.00401211826496,0.00284055684305
19,97.6950000127,1.41133332253,-0.491487175296,-0.0649656966741,33,0.95,700,"{'n_estimators': 700, 'max_features': 0.95, 'max_depth': 33}",2,-0.497482157258,-0.0648575626612,-0.491244225252,-0.0657593476222,-0.48573400422,-0.0642801797389,0.855407904282,0.0623448895913,0.00479923904832,0.000608689373604
20,72.611000061,1.20933326085,-0.494179685688,-0.0661482413509,33,0.9,550,"{'n_estimators': 550, 'max_features': 0.9, 'max_depth': 33}",8,-0.500514584885,-0.0641618492537,-0.494292286851,-0.0671817428282,-0.487730945763,-0.0671011319707,0.62261871324,0.0450652831888,0.00521950611876,0.00140497679708
